question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
209,when does the tv show riverdale come back on,History,"October 11, 2017",44,closed-ended,topical,qualitative,"Riverdale ended its run with its seventh and final season, which aired its series finale on August 23, 2023 on The CW. The show will not be returning for new episodes as the series has officially concluded after 7 seasons.",2025-05-25,222
210,was star wars a book first or a movie,History,book,37,closed-ended,general,qualitative,"Star Wars was a movie first. The original film ""Star Wars"" (later retitled ""Star Wars: Episode IV - A New Hope"") was released in theaters in 1977. The novelization of the film, ghostwritten by Alan Dean Foster but credited to George Lucas, was actually released in November 1976, about six months before the movie. However, this book was based on the film's screenplay, and the entire Star Wars concept was created by George Lucas originally as a film, not a book series.",2025-05-25,471
211,when was the last time the reds were in the playoffs,History,2013,52,closed-ended,topical,qualitative,"The Cincinnati Reds last made the MLB playoffs in 2020, during the COVID-shortened season. They lost to the Atlanta Braves in the Wild Card Series, getting swept 2-0. Prior to that, their previous playoff appearance was in 2013, when they lost the National League Wild Card Game to the Pittsburgh Pirates.",2025-05-25,305
212,the andes mountains are found in which south american countries,History,"Venezuela, Argentina, Ecuador, Peru, Colombia, Chile, Bolivia",63,closed-ended,general,qualitative,"The Andes Mountains run through seven South American countries:

1. Venezuela
2. Colombia
3. Ecuador
4. Peru
5. Bolivia
6. Chile
7. Argentina

The mountain range extends for approximately 7,000 kilometers (4,300 miles) along South America's western coast, forming the longest continental mountain range in the world. The Andes also contain sections in western Argentina and create much of the natural border between Chile and Argentina.",2025-05-25,436
213,when was tom petty and the heartbreakers formed,History,1976,47,closed-ended,general,qualitative,"Tom Petty and the Heartbreakers formed in 1976 in Gainesville, Florida. The band emerged from the ashes of Petty's previous group Mudcrutch, when he relocated to Los Angeles and recruited fellow Gainesville musicians Mike Campbell, Benmont Tench, Ron Blair, and Stan Lynch to form the Heartbreakers.",2025-05-25,299
214,who starred in the streets of san francisco,History,"Karl Malden, Michael Douglas, Richard Hatch",43,closed-ended,general,qualitative,"The Streets of San Francisco (1972-1977) starred Karl Malden as Detective Lieutenant Mike Stone and Michael Douglas as Inspector Steve Keller for the first four seasons. When Douglas left the show in 1976, Richard Hatch replaced him as Inspector Dan Robbins for the fifth and final season.

The show also featured regular appearances by Lee Harris as Sergeant Lessing and Reuben Collins as Sergeant Sekulovich. Various guest stars appeared throughout the series' run, including notable actors like Tom Selleck, Leslie Nielsen, and Nick Nolte.",2025-05-25,542
215,who issued the coin rupee for the first time,History,Ancient India,44,closed-ended,general,qualitative,"The silver rupee coin was first issued by Sher Shah Suri, the founder of the Sur Empire in India, during his reign from 1540-1545 CE. He introduced a unified currency system across his empire and standardized the silver rupee, which weighed 178 grains. This coin became the basis for the modern Indian rupee currency system. The word ""rupee"" comes from the Sanskrit word ""rupya"" meaning silver.",2025-05-25,394
216,when did women's basketball become an olympic sport,History,1976,51,closed-ended,general,qualitative,"Women's basketball became an Olympic sport at the 1976 Summer Olympics in Montreal, Canada. The Soviet Union won the first gold medal, defeating the United States in the final. Prior to this, men's basketball had been in the Olympics since 1936. The inclusion of women's basketball came as part of a broader movement to increase women's participation in Olympic sports during the 1970s.",2025-05-25,386
217,celine dion hit from falling into you album,History,"""All by Myself""",43,closed-ended,general,qualitative,"""It's All Coming Back to Me Now"" was the major hit single from Celine Dion's 1996 album ""Falling into You."" The power ballad reached #2 on the Billboard Hot 100 and helped the album win Grammy Awards for Album of the Year and Best Pop Album. The album also included other successful singles like ""Because You Loved Me"" and ""All By Myself.""",2025-05-25,339
218,when did kane browns song lose it come out,History,"On June 7, 2018",42,closed-ended,topical,qualitative,"""Lose It"" by Kane Brown was released on June 7, 2018 as the lead single from his second album ""Experiment."" The song reached #1 on Billboard's Country Airplay chart and was certified 3x Platinum by the RIAA.",2025-05-25,207
219,when did the movie titanic first come out,History,1997,41,closed-ended,general,qualitative,"Titanic was released on December 19, 1997 in the United States. The film premiered earlier that month on December 1, 1997 at the Ziegfeld Theatre in New York City, followed by its wide theatrical release.",2025-05-25,204
220,what was the name of the government set up in the virginia colony,History,The Old Dominion,65,closed-ended,general,qualitative,"The Virginia Colony was governed by the Virginia House of Burgesses, established in 1619 as the first legislative assembly in the American colonies. The government structure included a royal governor appointed by the British Crown, a Governor's Council (also called the Council of State), and elected burgesses representing various districts. This system was based on the British parliamentary model and remained Virginia's governing body until 1776. Initially, the colony was managed by the Virginia Company of London until 1624, when it became a royal colony directly under British control.",2025-05-25,592
221,when does series 9 of ncis los angeles start,History,"October 1, 2017",44,closed-ended,topical,qualitative,"NCIS: Los Angeles Season 9 premiered on October 1, 2017 on CBS. The season consisted of 24 episodes and concluded on May 20, 2018.",2025-05-25,130
222,when does the kingsman 2 movie come out,History,22 September 2017,39,closed-ended,topical,qualitative,"Kingsman: The Golden Circle (Kingsman 2) was released on September 20, 2017 in the United Kingdom and September 22, 2017 in the United States.",2025-05-25,142
223,when was labor day established as a national holiday,History,1894,52,closed-ended,general,qualitative,"Labor Day was established as a federal holiday in the United States on June 28, 1894, when President Grover Cleveland signed it into law. The holiday was created in response to the Pullman Strike and growing labor movement of the late 19th century. While some states had already been celebrating Labor Day before this date (Oregon was the first state to make it a holiday in 1887), the 1894 law made it a national holiday to be observed on the first Monday in September throughout all U.S. territories and states.",2025-05-25,513
224,who played wicket in return of the jedi,History,Warwick Ashley Davis,39,closed-ended,general,qualitative,"Warwick Davis played Wicket W. Warrick in Return of the Jedi (1983). He was only 11 years old when cast in the role, making him one of the youngest performers in the film. Davis was originally hired as an extra Ewok, but when Kenny Baker (who was supposed to play Wicket) became ill, George Lucas chose Davis to play the lead Ewok character instead.",2025-05-25,349
225,when was the maple leaf first adopted as a symbol in canada,History,1868,59,closed-ended,general,qualitative,"The maple leaf emerged as a Canadian symbol in the 1700s, when French Canadians along the St. Lawrence River adopted it as an emblem. In 1834, it was officially recognized as a national symbol when the St. Jean-Baptiste Society made it their emblem at their first public meeting. The maple leaf gained further prominence in 1860 when it was incorporated into the badge of the 100th Regiment of Foot and during the 1860s when it was used on Canadian coins. In 1965, the maple leaf became the central feature of Canada's new national flag, replacing the Canadian Red Ensign. The specific red maple leaf design used on the current flag was chosen after extensive research showed this variety was the least likely to be botanically confused with other maple species.",2025-05-25,762
226,founded by the phoenicians around 800 b.c the city of,History,Carthage,53,closed-ended,general,qualitative,"Carthage was founded by the Phoenicians around 800 BC on the north coast of Africa in present-day Tunisia. The city became one of the most powerful and wealthy cities in the ancient Mediterranean, serving as the capital of the Carthaginian Empire and a major maritime trading hub. According to legend, Carthage was established by Queen Dido (also known as Elissa) who fled from Tyre in Phoenicia. The city's strategic location and excellent harbor made it a dominant force in Mediterranean trade and politics until its destruction by Rome in 146 BC during the Third Punic War.",2025-05-25,576
227,what is the most rare blood type in south africa,History,AB−,48,closed-ended,topical,qualitative,"AB negative is the rarest blood type in South Africa, present in less than 1% of the population. The South African National Blood Service (SANBS) reports that blood type distribution in South Africa follows this approximate pattern:

O+ : 39%
A+ : 32%
B+ : 12%
AB+ : 4%
O- : 7%
A- : 4%
B- : 2%
AB- : <1%",2025-05-25,303
228,who's being inducted into the pro football hall of fame this year,History,"Bobby Beathard, Robert  Brazile, Brian  Dawkins, Jerry  Kramer, Randy  Moss, Brian  Urlacher, Terrell Owens, Ray  Lewis",65,closed-ended,topical,qualitative,"The Pro Football Hall of Fame Class of 2024 includes:

- Julius Peppers (Defensive End)
- Andre Johnson (Wide Receiver)
- Devin Hester (Return Specialist/Wide Receiver)
- Patrick Willis (Linebacker)
- Steve McMichael (Defensive Tackle)
- Randy Gradishar (Linebacker)
- Art Powell (Wide Receiver/End)

The enshrinement ceremony will take place in Canton, Ohio in August 2024.",2025-05-25,374
229,what is the red mushroom with white dots,History,fly agaric,40,closed-ended,general,qualitative,"The red mushroom with white dots is Amanita muscaria, also known as the fly agaric or fly amanita. It's a distinctive mushroom with a bright red cap covered in white wart-like spots. While iconic and frequently depicted in fairy tales, children's books, and popular culture (like Super Mario games), it's actually poisonous and contains psychoactive compounds. The mushroom typically grows near pine and birch trees in temperate and boreal regions worldwide. When young, the white spots are more prominent and dome-shaped, but they can wash away with rain or age, leaving the cap a plain red color.",2025-05-25,598
230,who sang the original song our day will come,History,Ruby & the Romantics,44,closed-ended,general,qualitative,"Ruby & The Romantics released the original version of ""Our Day Will Come"" in 1963. The song reached #1 on both the Billboard Hot 100 and R&B charts. It was written by Bob Hilliard and Mort Garson.",2025-05-25,196
231,was sandy a tropical storm or a hurricane,History,Hurricane,41,closed-ended,topical,qualitative,"Hurricane Sandy was both - it began as a tropical storm and intensified into a Category 3 hurricane before weakening to a post-tropical cyclone. At its peak on October 25, 2012, Sandy was a Category 3 hurricane with winds of 115 mph. When it made landfall near Atlantic City, New Jersey on October 29, it had technically transitioned to a post-tropical cyclone but still maintained hurricane-force winds of 80 mph. The storm is commonly referred to as ""Superstorm Sandy"" due to its massive size and hybrid characteristics of both a hurricane and nor'easter.",2025-05-25,557
232,when was the first movie made with sound,History,1900,40,closed-ended,general,qualitative,"The first feature-length film with synchronized sound was ""The Jazz Singer"" (1927), starring Al Jolson. However, the first film with any recorded sound was ""Dickson Experimental Sound Film"" from 1894/1895, created by William Dickson at Thomas Edison's laboratory. This very short film showed a man playing violin into a recording horn while two men danced.

The transition from silent films to ""talkies"" occurred gradually between 1926-1930, with various experimental sound systems being developed. Warner Bros.' Vitaphone system, used for ""The Jazz Singer,"" became the first commercially successful sound-on-disc technology, though it was soon replaced by sound-on-film systems like Movietone and RCA Photophone.",2025-05-25,713
233,who has been eliminated from rupaul season 10,History,"Monique Heart, Miz Cracker, Kalorie Karbdashian Williams, The Vixen, Monét X Change, Dusty Ray Bottoms, Blair St. Clair, Vanessa Vanjie Mateo, Mayhem Miller, Yuhua Hamasaki",45,closed-ended,topical,qualitative,"In RuPaul's Drag Race Season 10, the eliminated contestants in order were:

1. Vanessa Vanjie Mateo
2. Kalorie Karbdashian Williams
3. Yuhua Hamasaki
4. Dusty Ray Bottoms
5. Mayhem Miller
6. Blair St. Clair
7. Monique Heart
8. The Vixen
9. Monét X Change
10. Miz Cracker

Asia O'Hara, Eureka, and Kameron Michaels made it to the finale, with Aquaria ultimately winning the season.",2025-05-25,380
234,who sings where you lead i will follow,History,"lyricist Toni Stern, Carole King",38,closed-ended,general,qualitative,"Carole King recorded ""Where You Lead"" on her 1971 album ""Tapestry."" The song was later re-recorded by King and her daughter Louise Goffin in 2000 for the TV show ""Gilmore Girls,"" where it served as the theme song. The Gilmore Girls version is likely the most widely recognized recording of the song today.",2025-05-25,305
235,when was the transcontinental railroad started and finished,History,between 1863 and 1869,59,closed-ended,general,quantitative,"The First Transcontinental Railroad construction began in 1863 when the Central Pacific Railroad started building eastward from Sacramento, California, while the Union Pacific Railroad began building westward from Omaha, Nebraska. The railroad was completed on May 10, 1869, when the golden spike was driven at Promontory Summit, Utah, connecting the two rail lines. The total construction took 6 years and spanned approximately 1,912 miles, creating the first continuous railroad connection across the United States from coast to coast.",2025-05-25,537
236,what article of the constitution outlines the process of amending the constitution,History,Article Five,82,closed-ended,general,qualitative,"Article V of the U.S. Constitution outlines the amendment process. It provides two methods for proposing amendments: either by a two-thirds vote in both houses of Congress, or by a constitutional convention called by two-thirds of state legislatures. For ratification, proposed amendments must be approved by three-fourths of state legislatures or state conventions, with Congress choosing which method to use.",2025-05-25,410
237,who won the national college football championship last year,History,Clemson,60,closed-ended,topical,qualitative,"The Michigan Wolverines won the 2024 College Football Playoff National Championship, defeating the Washington Huskies 34-13 on January 8, 2024 at NRG Stadium in Houston, Texas. This was Michigan's first national championship since 1997 and their first outright title since 1948.",2025-05-25,278
238,who came up with the hammer and sickle,History,Yevgeny Ivanovich Kamzolkin,38,closed-ended,general,qualitative,"The hammer and sickle symbol was created by Yevgeny Kamzolkin in 1918, though Vladimir Vladimirovich Mayakovsky and Alexander Apsit also contributed to its development. It was first used during the Russian Revolution to represent the unity between industrial workers (hammer) and peasant farmers (sickle). The symbol was officially adopted by the Russian Soviet Republic in 1918, later becoming the official state emblem of the Soviet Union in 1922. The design was chosen through a competition organized by Lenin's government to create new socialist symbols, and it eventually became one of the most recognizable communist symbols worldwide.",2025-05-25,641
239,who does the ontario government borrow money from,History,"the general public, public-sector bodies., institutional investors",49,closed-ended,topical,qualitative,"The Ontario government borrows money through several channels:

1. Public debt markets by issuing bonds and treasury bills
2. Domestic and international investors including:
- Banks
- Insurance companies
- Pension funds
- Investment funds
- Individual investors

The Ontario Financing Authority (OFA) manages the province's borrowing program, primarily through:
- Canadian dollar-denominated bonds
- Global bonds in various currencies
- Green bonds for environmental projects
- Medium-term notes
- Short-term borrowing instruments

The province also receives funding through:
- Federal government transfers
- The Canada Pension Plan Investment Board
- Public sector pension funds

Most of Ontario's debt is held by Canadian investors, though international investors also hold a significant portion of the province's bonds.",2025-05-25,822
240,what is the parker brothers most famous game,History,Monopoly,44,closed-ended,general,qualitative,"Monopoly is Parker Brothers' most famous game. First published by Parker Brothers in 1935, Monopoly has become one of the best-selling board games of all time, with more than 275 million copies sold worldwide. The game involves players buying, trading, and developing properties while collecting rent from opponents, with the goal of becoming the wealthiest player through real estate ownership and driving other players into bankruptcy.",2025-05-25,437
241,Who was nominated for a Golden Globe for best performance by an actress for her portrayal as the main antagonist in the comedy adventure film 101 Dalmatians?,Pop Culture,Glenn Close,157,closed-ended,general,qualitative,"Glenn Close was nominated for a Golden Globe Award for Best Actress in a Motion Picture – Comedy or Musical for her role as Cruella de Vil in the 1996 live-action film ""101 Dalmatians.""",2025-05-25,185
242,Which automobile repair shop founded by Ryan Friedlinghaus and Quintin Dodson was featured on a show that aired on TLC and the Discovery Channel?,Pop Culture,West Coast Customs,145,closed-ended,topical,qualitative,"West Coast Customs, founded in 1993 by Ryan Friedlinghaus and Quintin Dodson, was featured on the TV shows ""Pimp My Ride"" on MTV and later ""Street Customs"" on TLC and the Discovery Channel. The shop is known for creating custom vehicles and has become famous for their unique automotive modifications and designs.",2025-05-25,313
243,Toño plays in goal for which Madrid football team?,Pop Culture,Rayo Vallecano,50,closed-ended,topical,qualitative,"Toño (Antonio Adán) played as goalkeeper for Real Madrid between 2009-2013, primarily as a backup keeper. He came up through Real Madrid's youth system but never established himself as the first-choice goalkeeper at the club.",2025-05-25,225
244,Who was a Private in the marines who raised the flag on Mount Suribachi?,Pop Culture,Franklin Sousley,72,closed-ended,topical,qualitative,"Rene Gagnon was a Private First Class in the U.S. Marine Corps who participated in raising the second American flag on Mount Suribachi during the Battle of Iwo Jima on February 23, 1945. He was one of six Marines who raised the flag in the iconic photograph taken by Joe Rosenthal. However, it's important to note that this was actually the second flag raising that day - the first flag had been raised earlier by a different group of Marines. Gagnon was one of three flag raisers who survived the battle of Iwo Jima.",2025-05-25,517
245,Michael Kelso is one of the male leads on the show that was set in what fictional Wisconsin town?,Pop Culture,Point Place,97,closed-ended,general,qualitative,"Point Place, Wisconsin. Michael Kelso was one of the main characters on ""That '70s Show"" which was set in the fictional town of Point Place, located near Green Bay and Kenosha, Wisconsin.",2025-05-25,187
246,What company owns the shopping center that stands in the place where Foxboro Stadium used to be?,Pop Culture,The Kraft Group,96,closed-ended,topical,qualitative,"The Kraft Group, owned by Robert Kraft (who also owns the New England Patriots), owns Patriot Place - the shopping, dining and entertainment complex that was built on the former site of Foxboro Stadium. Patriot Place opened in 2007 and is located adjacent to Gillette Stadium in Foxborough, Massachusetts.",2025-05-25,305
247,How many times was Bertha of Savoy's husband excommunicated?,Pop Culture,five,60,closed-ended,general,quantitative,"Henry IV, Holy Roman Emperor and husband of Bertha of Savoy, was excommunicated four times by Pope Gregory VII. The first excommunication occurred in 1076, the second in 1080, the third in 1084, and the fourth in 1085.",2025-05-25,218
248,"Frederick and Louis Upton founded what American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States, near Benton Harbor, Michigan?",Pop Culture,Whirlpool Corporation,204,closed-ended,general,qualitative,"Whirlpool Corporation was founded by Frederick and Louis Upton in 1911. The company began as the Upton Machine Company, manufacturing electric motor-driven wringer washers. It later became the Nineteen Hundred Corporation in 1929 and finally adopted the name Whirlpool Corporation in 1950. Today, Whirlpool is one of the world's largest manufacturers of home appliances, producing products such as washing machines, refrigerators, dishwashers, ovens, and other major household appliances.",2025-05-25,488
249,"The actor that played Herman Stiles on ""Evening Shade"" also stars with Robin Williams and Jeff Bridges in a 1991 film directed by who?",Pop Culture,Terry Gilliam,134,closed-ended,general,qualitative,"Terry Gilliam directed ""The Fisher King"" (1991), which featured Michael Jeter (who played Herman Stiles in ""Evening Shade"") alongside Robin Williams and Jeff Bridges.",2025-05-25,166
250,Are both the University of Hartford and Adamson University public universities?,Pop Culture,no,79,closed-ended,general,qualitative,"No. The University of Hartford is a private university located in Connecticut, USA, while Adamson University is a private Catholic university located in Manila, Philippines. Neither institution is public.",2025-05-25,204
251,Are La Périchole and Jenůfa in the same language?,Pop Culture,no,49,closed-ended,general,qualitative,"No. La Périchole is an opéra bouffe in French by Jacques Offenbach, while Jenůfa is a Czech opera by Leoš Janáček. La Périchole premiered in Paris in 1868, and Jenůfa premiered in Brno in 1904.",2025-05-25,193
252,The directed one of the film which  Pat Gorman appared in the starring line ?,Pop Culture,David Lynch,77,closed-ended,general,qualitative,"I cannot determine with certainty who directed a specific film starring Pat Gorman, as there appears to be some confusion in the question's phrasing. Pat Gorman was a British actor who appeared as an extra or in minor roles in numerous British TV shows and films from the 1960s through the 1980s, but I cannot definitively identify a specific film and its director without more context about which film is being referenced.",2025-05-25,423
253,"The actor that played Tim McManus on ""Oz"" starred with Gabrielle Anwar and Billy Wirth in a 1993 horror film based on a novel by what author?",Pop Culture,Jack Finney,141,closed-ended,general,qualitative,"Dean Winters (who played Tim McManus in ""Oz"") starred with Gabrielle Anwar and Billy Wirth in ""Body Snatchers"" (1993), which was based on the novel ""The Body Snatchers"" by Jack Finney.",2025-05-25,184
254,Productions filmed at Space Studios Mancheter include a BBC drama television series that is based on what Israeli series?,Pop Culture,Yellow Peppers,121,closed-ended,topical,qualitative,"The Age of Resistance, a BBC drama series filmed at Space Studios Manchester, is based on the Israeli television series Yellow Peppers. The BBC adaptation was retitled The A Word and follows the story of a family whose young son is diagnosed with autism.",2025-05-25,254
255,"Which tennis player is older, Billy Martin or Pavel Složil?",Pop Culture,Pavel Složil,59,closed-ended,general,qualitative,"Pavel Složil is older. He was born on December 29, 1955, while Billy Martin was born on October 25, 1956.",2025-05-25,105
256,"When was the singer of ""America's Sweetheart"" born?",Pop Culture,"July 3, 1989",51,closed-ended,general,qualitative,"Elle King, who sang ""America's Sweetheart,"" was born on July 3, 1989, in Los Angeles, California. Her birth name is Tanner Elle Schneider, and she is the daughter of actor Rob Schneider and former model London King.",2025-05-25,215
257,"Which breed of dog is fluffier, the Keeshond or the Shar Pei?",Pop Culture,Keeshond,61,closed-ended,general,qualitative,"The Keeshond is significantly fluffier than the Shar Pei. Keeshonds have a thick, double coat with a plush outer layer and dense undercoat, giving them a very fluffy appearance. Their fur stands out around their neck, chest, and tail, creating a lion-like mane. In contrast, Shar Peis have short, rough, bristly coats that lie flat against their body and are known for their wrinkled skin rather than fluffiness.",2025-05-25,412
258,"Which University did the gymnastics coach, who recruited a two time gold medal winner in the 1984 Summer Olympics, attend?",Pop Culture,University of Oklahoma,122,closed-ended,general,qualitative,"Without more specific details about which gymnastics coach and which gold medalist from the 1984 Olympics you're referring to, I cannot provide an accurate answer. The 1984 Summer Olympics in Los Angeles featured multiple gold medal winners in gymnastics from different countries, and each had different coaches with varying educational backgrounds.",2025-05-25,349
259,What two singles were played over the credits of the 2002 post-apocalyptic fantasy film directed by Rob Bowman?,Pop Culture,"""Burn"" and ""Walk Away""",111,closed-ended,general,qualitative,"The 2002 film ""Reign of Fire"" directed by Rob Bowman featured ""Fire (Yes, the Answer Is Fire)"" by Cevin Soling and ""If We Were"" by Lifehouse during its end credits.",2025-05-25,164
260,Do Kathy Jordan and Marin Čilić have the same nationality?,Pop Culture,no,58,closed-ended,general,qualitative,No. Kathy Jordan is American and Marin Čilić is Croatian.,2025-05-25,57
261,"Standing Ovation is a live album, by pianist and bandleader Count Basie, featuring performances recorded at which hotel and casino, on the Las Vegas Strip in Paradise, Nevada?",Pop Culture,Tropicana Resort & Casino,175,closed-ended,general,qualitative,"Standing Ovation was recorded at the Sands Hotel and Casino on the Las Vegas Strip in Paradise, Nevada.",2025-05-25,103
262,"Which of the following was founded in Capitola, California: Pizza My Heart or LaRosa's Pizzeria?",Pop Culture,Pizza My Heart,96,closed-ended,general,qualitative,"Pizza My Heart was founded in Capitola, California. The restaurant began as a small pizzeria in Capitola in 1981 under the original name ""Pizza My Heart Express"" before expanding throughout the San Francisco Bay Area and Silicon Valley. LaRosa's Pizzeria, in contrast, was founded in Cincinnati, Ohio.",2025-05-25,301
263,"What city on the Silk Road means ""Sandy place"" in Persian?",Pop Culture,Samarkand,58,closed-ended,general,qualitative,"Samarkand means ""sandy place"" or ""stone fort"" in Persian (from ""asmara"" meaning stone/rock and ""kand"" meaning fort/town). It was one of the major cities along the Silk Road, located in present-day Uzbekistan, and served as a crucial trading center between China and the Mediterranean.",2025-05-25,284
264,"Who was born first,Todd Woodbridge or Lucie Hradecká?",Pop Culture,Todd Andrew Woodbridge,53,closed-ended,general,qualitative,"Todd Woodbridge was born first. He was born on April 2, 1971, while Lucie Hradecká was born on May 21, 1985.",2025-05-25,108
265,"In 2003, James Beaumont joined a professional football football club in West Bridgford, England, which plays their home matches where?",Pop Culture,City Ground,134,closed-ended,topical,qualitative,"Nottingham Forest Football Club plays their home matches at the City Ground in West Bridgford, Nottingham, England. The stadium has been Forest's home since 1898 and has a capacity of approximately 30,445.",2025-05-25,205
266,"Who was born in an earlier year, Arantxa Sánchez Vicario or Mark Edmondson?",Pop Culture,Mark Edmondson,75,closed-ended,general,qualitative,"Mark Edmondson was born in 1954, while Arantxa Sánchez Vicario was born in 1971, making Edmondson the earlier born of the two tennis players by 17 years.",2025-05-25,153
267,In what city is the CBS station that features children's show Gator Tales?,Pop Culture,"St. Louis, Missouri, United States",74,closed-ended,topical,qualitative,"WUFT-TV in Gainesville, Florida produces and broadcasts Gator Tales.",2025-05-25,68
268,"What was the role played in ""Sweet Charity"" by the star of Dear Diary?",Pop Culture,Nickie,70,closed-ended,topical,qualitative,"Shirley MacLaine played the lead role of Charity Hope Valentine in the 1969 film version of ""Sweet Charity."" The character is a taxi dancer at the Fandango Ballroom who remains optimistic despite her misfortunes in love.",2025-05-25,220
269,How many awards did the alphabetically first animator of The Country Cousin receive?,Pop Culture,over 80,84,closed-ended,general,quantitative,"The Country Cousin (1936) was animated by several Disney animators, but I cannot definitively determine who would be first alphabetically or their specific award count without access to a complete list of the film's animators. The film itself won an Academy Award for Best Animated Short Film, but attributing individual awards to specific animators from this era is challenging without more detailed historical records.",2025-05-25,420
270,Mine is a song by Taylor Swift that was placed on an album released in what month?,Pop Culture,October,82,closed-ended,general,qualitative,"""Mine"" was released on Taylor Swift's album ""Speak Now"" in October 2010.",2025-05-25,72
271,"What is the name of Ekaterina Gordeeva's husband, who together with her was the 1988 and 1994 Olympic champion?",Pop Culture,Sergei Grinkov,111,closed-ended,general,qualitative,Sergei Grinkov was Ekaterina Gordeeva's husband and skating partner. Together they won Olympic gold medals in pairs figure skating at both the 1988 Calgary Olympics and 1994 Lillehammer Olympics. They skated together from 1982 until Grinkov's death in 1995 from a heart attack during practice.,2025-05-25,293
272,"Are both rock bands Tapes 'n Tapes and Sloan based in Minneapolis, Minnesota?",Pop Culture,no,77,closed-ended,general,qualitative,"No. Tapes 'n Tapes is based in Minneapolis, Minnesota, but Sloan is a Canadian rock band from Halifax, Nova Scotia.",2025-05-25,115
273,"Taylor Swift's song Out of the Woods is the 4th track after her song Style, which was the third track after which other single?",Pop Culture,Blank Space,127,closed-ended,topical,qualitative,"""Blank Space"" is the track that comes before ""Style"" on Taylor Swift's album ""1989"", making the sequence: ""Blank Space"" → ""Style"" → ""Out of the Woods""",2025-05-25,150
274,"Boiler Room, a 2000 American crime drama film, stars which actor who also appeared in ""Brothers & Sisters"" and ""L.A. Confidential?""",Pop Culture,Ron Rifkin,131,closed-ended,general,qualitative,"Ben Affleck appears in Boiler Room as Jim Young, a senior broker who recruits and trains new stockbrokers. He also appeared in L.A. Confidential (1997) as Sid Hudgens and had a guest role in Brothers & Sisters as the character Lawrence Graves.",2025-05-25,243
275,"Which documentary film was released first, Unchained Memories or What Remains of Us?",Pop Culture,Unchained Memories,84,closed-ended,general,qualitative,"Unchained Memories was released in 2003, while What Remains of Us was released in 2004, making Unchained Memories the earlier of the two documentaries.",2025-05-25,151
276,For which French king did Nicolas Bergier serve as an advisor in the 17th century?,Pop Culture,Louis XIII,82,closed-ended,general,qualitative,Nicolas Bergier served as historiographer to King Louis XIII of France in the early 17th century.,2025-05-25,97
277,"Deepak Tiwari is a Sspecial correspondent of an Indian newsmagazine that is printed in Delhi, Mumbai, Bangalore, and Kottayam, and is published by who?",Pop Culture,The Malayala Manorama Co. Ltd,151,closed-ended,topical,qualitative,"The Outlook Group publishes Outlook magazine, which is an Indian weekly news magazine printed in those cities.",2025-05-25,110
278,"Break Every Rule World Tour is the fourth worldwide concert tour by which American-born Swiss recording singer, songwriter, dancer, actress, and author, and relinquished her American citizenship after obtaining Swiss citizenship in 2013?",Pop Culture,Tina Turner,237,closed-ended,general,qualitative,"Tina Turner conducted the Break Every Rule World Tour in 1987-1988. Turner was born in Nutbush, Tennessee in 1939 and became a naturalized Swiss citizen in 2013, formally relinquishing her US citizenship. She lived in Switzerland from 1994 until her death in 2023.",2025-05-25,264
279,Die Sexualität im Kulturkampf was by which Austrian psychoanalyst?,Pop Culture,Wilhelm Reich,66,closed-ended,general,qualitative,"Wilhelm Reich wrote ""Die Sexualität im Kulturkampf"" (later published in English as ""The Sexual Revolution"") in 1936. Reich was an Austrian psychoanalyst and student of Sigmund Freud who focused on the intersection of psychoanalysis, sexuality, and social theory.",2025-05-25,262
280,"Sleigh Ride is a piece of music written by composer described by whom as ""one of the great American masters of light orchestral music""?",Pop Culture,John Williams,135,closed-ended,general,qualitative,"Leonard Bernstein described Leroy Anderson as ""one of the great American masters of light orchestral music."" Anderson composed ""Sleigh Ride"" in 1948 during a heat wave, and it was first recorded in 1949 by Arthur Fiedler and the Boston Pops Orchestra.",2025-05-25,251
281,"What station is near ""The Giant Egg""?",Pop Culture,Tiananmen West Station,37,closed-ended,topical,qualitative,"Dongdaemun History & Culture Park Station in Seoul, South Korea is located near the Dongdaemun Design Plaza (DDP), which is commonly known as ""The Giant Egg"" due to its distinctive curved metallic architecture. The station serves Seoul Metro Lines 2, 4, and 5.",2025-05-25,260
282,"Richard Labunski, a journalism professor at the University of Kentucky and newspaper columnist who is notable for being an outspoken advocate for reforming the United States Constitution in his book ""The Second Constitutional Convention"", wrote about the United States Bill of Rights, which are the first of how many amendments to the United States Constitution?",Pop Culture,ten,362,closed-ended,general,quantitative,The Bill of Rights consists of the first 10 amendments to the United States Constitution.,2025-05-25,89
283,"When was the former international footballer for the French national team who starred in ""French Film""  born?",Pop Culture,24 May 1966,109,closed-ended,general,qualitative,"I cannot provide an accurate answer to this question as it contains ambiguous information. The movie ""French Film"" (2008) is a British romantic comedy and does not star any former French international footballers. Without knowing which specific footballer you're referring to, I cannot provide their birth date.",2025-05-25,311
